scientific name,kingdom,phylum,class,order,family,genus,taxon rank,nomenclatural code,location,country code,occurrence status,establishment means,degree of establishment,[OLD] introduction pathway,introduction pathway 1,introduction pathway 2,introduction pathway 3,date first observation,date last observation,source,remarks,native range,terrestrial,marine,freshwater,host,abundance,threat status,date added,added by,verified by
"Saitis barbipes (Simon, 1868)",Animalia,Arthropoda,Arachnida,,Salticidae,Saitis,species,ICZN,Wallonia,BE,present,,casual,,,,,2013,2013,ARABEL exotendatabank (2018-08-10),In non-import related context,"Northern Africa, southern Europe to Turkey",TRUE,FALSE,FALSE,,rare,,2018-08-11,Koen Van Keer,Koen Van Keer
"Selenops radiatus Latreille, 1819",Animalia,Arthropoda,Arachnida,,Selenopidae,Selenops,species,ICZN,Flanders,BE,present,,transported,,,,,2004,2004,"Kekenbosch, R. 2008. Un cas de morsure de Selenops radiatus Latreille, 1819 (Araneae: Selenopidae). Nieuwsbrief van de Belgische Arachnologische Vereniging, 23(1):28-29.",Worker bitten while handling the wood. Among wood imported from Africa,"Mediterranean, Africa, India, Myanmar, China",TRUE,FALSE,FALSE,,rare,,2018-05-03,Tim Adriaens,Koen Van Keer
"Spermophora senoculata (Dugès, 1836)",Animalia,Arthropoda,Arachnida,,Pholcidae,Spermophora,species,ICZN,Flanders,BE,present,,casual,,,,,1998,1998,"Vanuytven, H. 2000. Spermophora senoculata (Dugés, 1836), alweer een in België ingevoerde soort (Araneae: Pholcidae). Nieuwsbrief van de Belgische Arachnologische Vereniging, 15(1):1-2.",In garden center,Near East,TRUE,FALSE,FALSE,,rare,,2018-05-03,Tim Adriaens,Koen Van Keer
"Steatoda nobilis (Thorell, 1875)",Animalia,Arthropoda,Arachnida,,Theridiidae,Steatoda,species,ICZN,Flanders,BE,present,,transported,,,,,2009,2014,"Van Keer, K. 2010. An update on the verified reports of imported spiders (Araneae) from Belgium. Nieuwsbrief van de Belgische Arachnologische Vereniging 25(3): 210-214.","In garden centre (found in closed box with little statues, coming from China)",Macaronesia,TRUE,FALSE,FALSE,,rare,,2018-05-03,Tim Adriaens,Koen Van Keer
"Steatoda paykulliana (Walckenaer, 1805)",Animalia,Arthropoda,Arachnida,,Theridiidae,Steatoda,species,ICZN,Flanders,BE,present,,casual,,,,,1999,2002,"Van Keer, K. & Van Keer, J. 2003. In België aangetroffen exoten (Araneae) uit de collectie J. Van Keer. Nieuwsbrief van de Belgische Arachnologische Vereniging, 18(2-3):78-83.",In employment zones,Mediterranean to Central Asia,TRUE,FALSE,FALSE,,rare,,2018-05-03,Tim Adriaens,Koen Van Keer
"Steatoda grossa (C.L. Koch, 1838)",Animalia,Arthropoda,Arachnida,,Theridiidae,Steatoda,species,ICZN,Flanders,BE,present,,established,,,,,1978,2018,"Kekenbosch, J. & Baert, L. 1978. Araignées nouvelles pour la faune de Belgique. Bulletin et Annales de la Société Royal Belge d’ Entomologie, 114 : 59-61.",Probably invasive towards other spider species,"Eastern Palearctic including China, Korea, Japan",TRUE,FALSE,FALSE,,abundant,,2018-05-03,Tim Adriaens,Koen Van Keer
"Thanatus vulgaris Simon, 1870",Animalia,Arthropoda,Arachnida,,Philodromidae,Thanatus,species,ICZN,Flanders,BE,present,,transported,,,,,1999,1999,"Kekenbosch, R. 2008. Captures d'Hasarius adansoni (Audoin, 1826) et de Thanatus vulgaris (Simon, 1870). Nieuwsbrief van de Belgische Arachnologische Vereniging, 23(1):26-27.",Many unreported cases of this species with feeding crickets,"North America, Europe, North Africa, Turkey, Israel, Caucasus, Russia (European to Far East), Central Asia, China, Korea",TRUE,FALSE,FALSE,,occasional,,2018-05-03,Tim Adriaens,Koen Van Keer
"Triaeris stenaspis Simon, 1891",Animalia,Arthropoda,Arachnida,,Oonopidae,Triaeris,species,ICZN,Flanders,BE,present,,casual,contaminant_on_plants,contaminantOnPlants,,,,,"Kekenbosch, J. Bosmans, R. & Baert, L. 1977. Soortenlijst der Belgische spinnen. Studiedocumenten van het Koninklijk Belgische Instituut voor Natuurwetenschappen, 11:1-36.","Unclear reference (""In greenhouse, probably imported with exotic plants"")",Africa,TRUE,FALSE,FALSE,,rare,,2018-05-03,Tim Adriaens,Koen Van Keer
"Uloborus plumipes Lucas, 1846",Animalia,Arthropoda,Arachnida,,Uloboridae,Uloborus,species,ICZN,Flanders,BE,present,,established,,,,,1984,2017,"Segers, H. 1986. Uloborus plumipes Lucas, nieuw voor de Belgische fauna. Nieuwsbrief van de Belgische Arachnologische Vereniging, 1(1):18-19.","In 2014 found for the first time in ""open air"", on open bike shelter with no apparent links to garden center.","Europe, Africa, Yemen, Pakistan, Philippines",TRUE,FALSE,FALSE,,frequent,,2018-05-03,Tim Adriaens,Koen Van Keer
"Uroctea durandi (Latreille, 1809)",Animalia,Arthropoda,Arachnida,,Oecobiidae,Uroctea,species,ICZN,Flanders,BE,present,,casual,,,,,2018,2018,ARABEL exotendatabank (2018-08-10),Aquarium business,Mediterranean,TRUE,FALSE,FALSE,,rare,,2018-08-12,Koen Van Keer,Koen Van Keer
Varroa jacobsoni,Animalia,Arthropoda,Arachnida,,,,species,ICZN,Flanders,BE,present,,,,,,,1985,,,,Mediterranean,TRUE,FALSE,FALSE,,,,2018-05-03,Tim Adriaens,
"Zoropsis spinimana (Dufour, 1820)",Animalia,Arthropoda,Arachnida,,Zoropsidae,Zoropsis,species,ICZN,Flanders,BE,present,,established,,,,,2004,2018,"Lambeets, K., Bosmans, R. & Bonte, D. 2007. Two exotic spider species (Araneae), Zoropsis spinimana (Zoropsidae) and Saitis barbipes (Salticidae), recently found in the inner city of Ghent (Belgium). Nieuwsbrief van de Belgische Arachnologische Vereniging, 22(2):55-60.","Possibly invasive. Many records from private houses and gardens, among which only one traceable origin: ""in tent from vacation in Portugal (Algarve)""",Mediterranean to Russia,TRUE,FALSE,FALSE,,frequent,,2018-05-03,Tim Adriaens,Koen Van Keer
Scutigera coleoptrata (Linnaeus 1758),Animalia,Arthropoda,Chilopoda,Scutigeromorpha,Scutigeridae,Scutigera,species,ICZN,,BE,present,,,,,,,1830,,"Lock K (2010) Updated checklist of the Belgian centipedes (Chilopoda). Entomologie faunistique-Faunistic Entomology. 62 (1), 35-39",,,TRUE,FALSE,FALSE,,,,,Quentin Groom,
"Cordioniscus stebbingii (Patience, 1907)",Animalia,Arthropoda,Malacostraca,Isopoda,Oniscidae,Cordioniscus,species,ICZN,Flanders,BE,present,,established,,,,,1956,2017,"De Smedt P, Arijs G, Segers S, Boeraeve P (2017) Woodlice of the green houses at Ghent Botanical Garden and Botanic Garden Meise with two new exotic species for Belgium (Isopoda: Oniscidae). Bulletin de la Société royale belge d’Entomologie/Bulletin van de Koninklijke Belgische Vereniging voor Entomologie, 153: 109-112.",,,TRUE,FALSE,FALSE,,,,2018-08-04,Quentin Groom,Pallieter de Smedt
"Trichorina tomentosa (Budde-Lund, 1893)",Animalia,Arthropoda,Malacostraca,Isopoda,Oniscidae,Trichorina,species,ICZN,Flanders,BE,present,,,,,,,1956,2017,"Polk PH, Van Oye P (1956) Studie der Landisopoden in België: systematisch-oecologisch. Licenciaatsverhandeling 1956. Universiteit Gent.",,,TRUE,FALSE,FALSE,,,,2018-08-04,Quentin Groom,Pallieter de Smedt
"Nagurus cristatus (Dollfus, 1889)",Animalia,Arthropoda,Malacostraca,Isopoda,Oniscidae,Nagurus,species,ICZN,Flanders,BE,present,,,,,,,2015-02-05,2017-03-29,"De Smedt P, Arijs G, Segers S, Boeraeve P (2017) Woodlice of the green houses at Ghent Botanical Garden and Botanic Garden Meise with two new exotic species for Belgium (Isopoda: Oniscidae). Bulletin de la Société royale belge d’Entomologie/Bulletin van de Koninklijke Belgische Vereniging voor Entomologie, 153: 109-112.",,,TRUE,FALSE,FALSE,,,,2018-08-04,Quentin Groom,Pallieter de Smedt
"Reductoniscus costulatus Kesselyák, 1930",Animalia,Arthropoda,Malacostraca,Isopoda,Oniscidae,Reductoniscus,species,ICZN,Flanders,BE,present,,,,,,,2015-02-05,,"De Smedt P, Arijs G, Segers S, Boeraeve P (2017) Woodlice of the green houses at Ghent Botanical Garden and Botanic Garden Meise with two new exotic species for Belgium (Isopoda: Oniscidae). Bulletin de la Société royale belge d’Entomologie/Bulletin van de Koninklijke Belgische Vereniging voor Entomologie, 153: 109-112.",,,TRUE,FALSE,FALSE,,,,2018-08-04,Quentin Groom,Pallieter de Smedt
Synarmadillo,Animalia,Arthropoda,Malacostraca,Isopoda,Oniscidae,Synarmadillo,genus,ICZN,Flanders,BE,present,,,,,,,2015-02-05,,"De Smedt P, Arijs G, Segers S, Boeraeve P (2017) Woodlice of the green houses at Ghent Botanical Garden and Botanic Garden Meise with two new exotic species for Belgium (Isopoda: Oniscidae). Bulletin de la Société royale belge d’Entomologie/Bulletin van de Koninklijke Belgische Vereniging voor Entomologie, 153: 109-112.",,,TRUE,FALSE,FALSE,,,,2018-08-04,Quentin Groom,Pallieter de Smedt
"Cordioniscus stebbingii (Patience, 1907)",Animalia,Arthropoda,Malacostraca,Isopoda,Oniscidae,Cordioniscus,species,ICZN,Brussels,BE,present,,,,,,,1907-11-29,,"De Smedt P, Arijs G, Segers S, Boeraeve P (2017) Woodlice of the green houses at Ghent Botanical Garden and Botanic Garden Meise with two new exotic species for Belgium (Isopoda: Oniscidae). Bulletin de la Société royale belge d’Entomologie/Bulletin van de Koninklijke Belgische Vereniging voor Entomologie, 153: 109-112.",,,TRUE,FALSE,FALSE,,,,2018-08-04,Quentin Groom,Pallieter de Smedt
"Sceliphron caementarium (Drury, 1773) caementarium (Drury, 1773)",Animalia,Arthropoda,Insecta,Hymenoptera,Sphecidae,Sceliphron,species,ICZN,Flanders,BE,present,,,,,,,2015-08-05,,"Ravoet J, Barbier Y, Klein W (2017) First observation of another invasive mud dauber wasp in Belgium: Sceliphron caementarium (Drury, 1773)(Hymenoptera: Sphecidae). Bulletin de la Société royale belge d’Entomologie, 153: 40-42.",,,TRUE,FALSE,FALSE,,,,,Quentin Groom,
"Cylindroiulus britannicus (Verhoeff, 1891)",Animalia,Arthropoda,Diplopoda,Julida,Julidae,Cylindroiulus,species,ICZN,Flanders,BE,present,,,,,,,2015-10-23,2015-11-11,"Proesmans, W., & De Smedt, P. (2015). The millipede Cylindroiulus britannicus (Verhoeff, 1891) new for the Belgian fauna (Diplopoda: Julidae). Bulletin de la Société royale belge d’Entomologie, 151, 239-242.",,,TRUE,FALSE,FALSE,,,,,Quentin Groom,
"Epuraea imperialis (Reitter, 1877)",Animalia,Arthropoda,Insecta,Coleoptera,Nitidulidae,Epuraea,species,ICZN,Flanders,BE,present,,,,,,,2012-06-24,2014-03-30,"Jelinek J et al. (2016) Epuraea imperialis (Reitter, 1877). New invasive species of Nitidulidae (Coleoptera) in Europe, with a checklist of sap beetles introduced to Europe and Mediterranean areas. AAPP | Physical, Mathematical, and Natural Sciences, 94(2): 1-24. https://doi.org/10.1478/AAPP.942A4",,Australia,TRUE,FALSE,FALSE,,,,,Quentin Groom,
"Carpophilus obsoletus Erichson, 1843",Animalia,Arthropoda,Insecta,Coleoptera,Nitidulidae,Carpophilus,species,ICZN,,BE,present,,,,,,,,,Verbeelen F (2008) Entomologische bijdragen. III. 1 bijdrage tot de keverfauna (Coleoptera) van Belgie. Exoten. Entomo-Info 19(4): 75.,,,TRUE,FALSE,FALSE,,,,,Quentin Groom,
"Stelidota geminata (Say, 1825)",Animalia,Arthropoda,Insecta,Coleoptera,Nitidulidae,Stelidota,species,ICZN,,BE,present,,,,,,,,,"Coulon, G. (1994). Sur la decouverte en Belgique du Stelidota geminata (Say, 1825)(Coleoptera, Nitidulidae). In Bulletin et Annales de la Société Royal Belge d’Entomologie (Vol. 130, pp. 114-115).",,,TRUE,FALSE,FALSE,,,,,Quentin Groom,
"Otiorhynchus dieckmanni Magnano, 1979",Animalia,Arthropoda,Insecta,Coleoptera,Polyphaga,Otiorhynchus,species,ICZN,Brussels,BE,present,,,,,,,2013,,"DELBOL, M. (2013). Catalogue des Curculionoidea de Belgique (Coleoptera: Polyphaga). Belgian journal of entomology, 13, 1-95.",,,TRUE,FALSE,FALSE,,,,,Quentin Groom,
"Macrosaccus robiniella (Clemens, 1859)",Animalia,Arthropoda,Insecta,Lepidoptera,Gracillariidae,Macrosaccus,species,ICZN,Flanders,BE,present,,,,,,,2001,2014,http://www.bladmineerders.be/nl/content/macrosaccus-robiniella-clemens-1859,,,TRUE,FALSE,FALSE,Robinia pseudoacacia L.,,,,Quentin Groom,
"Harmonia axyridis (Pallas, 1773)",Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Harmonia,species,ICZN,Flanders,BE,present,,invasive,release_biological_control,biologicalControl,,,2001,2018,"Adriaens, T., E. Branquart, and D. Maes. 2003. The Multicoloured Asian Ladybird Harmonia axyridis Pallas (Coleoptera : Coccinellidae), a threat for native aphid predators in Belgium? Belgian Journal of Zoology 133:195-196. | Adriaens, T., G. M. Y. Gomez, and D. Maes. 2008. Invasion history, habitat preferences and phenology of the invasive ladybird Harmonia axyridis in Belgium. BioControl 53:69-88. https://doi.org/10.1007/s10526-007-9137-6",,Asia,TRUE,FALSE,FALSE,,,,2018-04-17,Tim Adriaens,
"Harmonia axyridis (Pallas, 1773)",Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Harmonia,species,ICZN,Wallonia,BE,present,,invasive,release_biological_control,biologicalControl,,,2002,2018,"Adriaens, T., E. Branquart, and D. Maes. 2003. The Multicoloured Asian Ladybird Harmonia axyridis Pallas (Coleoptera : Coccinellidae), a threat for native aphid predators in Belgium? Belgian Journal of Zoology 133:195-196. | Adriaens, T., G. M. Y. Gomez, and D. Maes. 2008. Invasion history, habitat preferences and phenology of the invasive ladybird Harmonia axyridis in Belgium. BioControl 53:69-88. https://doi.org/10.1007/s10526-007-9137-6",,Asia,TRUE,FALSE,FALSE,,,,2018-04-17,Tim Adriaens,
"Harmonia axyridis (Pallas, 1773)",Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Harmonia,species,ICZN,Brussels,BE,present,,invasive,release_biological_control,biologicalControl,,,2001,2018,"Adriaens, T., E. Branquart, and D. Maes. 2003. The Multicoloured Asian Ladybird Harmonia axyridis Pallas (Coleoptera : Coccinellidae), a threat for native aphid predators in Belgium? Belgian Journal of Zoology 133:195-196. | Adriaens, T., G. M. Y. Gomez, and D. Maes. 2008. Invasion history, habitat preferences and phenology of the invasive ladybird Harmonia axyridis in Belgium. BioControl 53:69-88. https://doi.org/10.1007/s10526-007-9137-6",,Asia,TRUE,FALSE,FALSE,,,,2018-04-17,Tim Adriaens,
"Cryptolaemus montrouzieri Mulsant, 1853",Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Cryptolaemus,species,ICZN,,BE,present,,cultivated,release_biological_control,biologicalControl,,,,,"Merlin, J., M. Dolmans, D. Gérard, and M. Pasteels. 1992. Analyse des potentialités des coccinelles Exochomus quadripustulatus L. et Cryptolaemus montrouzieri Mulsant et tant qu'auxilliaires dans la lutte contre la cochenille Eupulvinaria hydrangea (Stenw.). Mém.Soc.R.belge Ent. 35:541-547.",,Australia,TRUE,FALSE,FALSE,,,,2018-04-17,Tim Adriaens,
Rhyzobius lophantae (Blaisdell),Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Rhyzobius,species,ICZN,Flanders,BE,present,,casual,release_biological_control,biologicalControl,,,1976,,"Van den Heuvel, R. 1988. Rhyzobius lophantae (Blaisdell), een nieuwe soort voor de Belgische fauna of een toevallig ingevoerd exemplaar ? (Coleoptera: Coccinellidae). Phegea 16:102.",,Australia,TRUE,FALSE,FALSE,,,,2018-04-17,Tim Adriaens,
"Rhyzobius forestieri (Mulsant, 1853)",Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Rhyzobius,species,ICZN,Flanders,BE,present,,casual,release_biological_control,biologicalControl,,,2018,,https://waarnemingen.be/waarneming/view/149645919,,Australia,TRUE,FALSE,FALSE,,,,2018-04-17,Tim Adriaens,
"Rhyzobius forestieri (Mulsant, 1853)",Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Rhyzobius,species,ICZN,Brussels,BE,present,,established,release_biological_control,biologicalControl,,,2006,2017,"Bogaert, J. 2008. Australisch lieveheersbeestje Rhyzobius forestieri gevonden te Brussel. Coccinula 15:6-8.",,Australia,TRUE,FALSE,FALSE,,,,2018-04-17,Tim Adriaens,
"Hippodamia convergens Guérin-Meneville, 1842",Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Hippodamia,species,ICZN,,BE,present,,cultivated,release_biological_control,biologicalControl,,,,,Helen Roy & Alain Migeon (2018) BioRisk 4(1): 293–313. https://doi.org/10.3897/biorisk.4.49,,North America,TRUE,FALSE,FALSE,,,,2018-04-17,Tim Adriaens,
"Coccinella miranda Wollaston, 1864",Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinella,species,ICZN,Brussels,BE,present,,captive,stowaway_people_luggage,people,,,2013,2013,https://waarnemingen.be/waarneming/view/80562225,,Canary islands,TRUE,FALSE,FALSE,,,,2018-04-17,Tim Adriaens,
"Camponotus vagus (Scopoli, 1763)",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,species,ICZN,Flanders,BE,present,,casual,contaminant_timber,timberTrade,,,1998,,"Dekoninck W, Pauly A., 2002, Camponotus vagus Scopoli, 1763 (Hymenoptera Formicidae) a new ant species for Belgium? Bulletin de la Société royale belge d'Entomologie; 138:29-30.",in vrije natuur,Europe,TRUE,FALSE,FALSE,,,,2018-04-17,Tim Adriaens,Wouter Dekoninck
"Hypoponera punctatissima (Roger, 1859)",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Hypoponera,species,ICZN,Flanders,BE,present,,casual,,,,,1911,,"http://www.formicidae-atlas.be | Dekoninck et al 2012 ATLAS België | Boer P, Blommaart J, Huijbregts H, van Nunen F, and Vorst O, 2006. De compostmier Hypoponera punctatissima in het vrije veld. Entomologische Berichten Amsterdam 66(2), 56-57.",in vrije natuur + binnen,cosmopolitan,TRUE,FALSE,FALSE,,,,2018-04-17,Tim Adriaens,Wouter Dekoninck
"Hypoponera schauinslandi (Emery, 1899)",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Hypoponera,species,ICZN,Flanders,BE,present,,casual,,,,,1911,,"Dekoninck, W, Maelfait, J-P, Vankerkhoven, F, Baugnée, J-Y, and Grootaert, P, 2006. An update of the clecklist of the Belgian ant fauna with comments on new species for the country (Hymenoptera, Formicidae). Belgian Journal of Entomology 8, 27-41.","enkel binnen, serres etc",cosmopolitan,TRUE,FALSE,FALSE,,,,2018-04-17,Tim Adriaens,Wouter Dekoninck
"Lasius neglectus van Loon, Boomsma & Andrásfalvy, 1990",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Lasius,species,ICZN,Flanders,BE,present,,established,contaminant_on_plants,contaminantOnPlants,,,1978,,"Dekoninck, W, Lock, K, and Janssens, F., 2007. Eur. J. Entomol. 104, 159-161. | Dekoninck W, De Baere C, Mertens J & Maelfait J-P, 2002. On the arrival of the Asian invader ant Lasius neglectus in Belgium (Hymenoptera: Formicidae). Bulletin S.R.B.E./K.B.V.E., 138: 45-48.",in vrije natuur,Europe,TRUE,FALSE,FALSE,,,,2018-04-17,Tim Adriaens,Wouter Dekoninck
"Linepithema humile (Mayr, 1868)",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Linepithema,species,ICZN,Flanders,BE,present,,established,contaminant_on_plants,contaminantOnPlants,,,2003,,"Dekoninck, W, Maelfait, J-P, Vankerkhoven, F, Baugnée, J-Y, and Grootaert, P, 2006. An update of the clecklist of the Belgian ant fauna with comments on new species for the country (Hymenoptera, Formicidae). Belgian Journal of Entomology 8, 27-41.","in serres, voorlopig in NL outdoor",South America,TRUE,FALSE,FALSE,,,,2018-04-17,Tim Adriaens,Wouter Dekoninck
"Monomorium pharaonis (Linnaeus, 1758)",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Monomorium,species,ICZN,Flanders,BE,present,,established,,,,,1911,,http://www.formicidae-atlas.be,"indoors, via mens en goederen",Africa,TRUE,FALSE,FALSE,,,,2018-04-17,Tim Adriaens,Wouter Dekoninck
"Pheidole bilimeki Mayr, 1870",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,species,ICZN,Brussels,BE,present,,casual,,,,,1911,,Bondroit 1911,,,TRUE,FALSE,FALSE,,,,2018-04-17,Tim Adriaens,Wouter Dekoninck
"Tapinoma melanocephalum (Fabricius, 1793)",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Tapinoma,species,ICZN,Wallonia,BE,present,,established,,,,,2005,,"Dekoninck W, Wegnez P, Espadaler X & Grootaert P, 2006. First record of infestation of the ghost ant Tapinoma melanocephalum (Fabricius, 1793) in Belgium (Hymenoptera, Formicidae) – a new indoor pest problem for the country? Bulletin S.R.B.E./K.B.V.E., 142: 25-28.",indoors,cosmopolitan,TRUE,FALSE,FALSE,,,,2018-04-17,Tim Adriaens,Wouter Dekoninck
"Technomyrmex vitiensis (Smith, 1861)",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Technomyrmex,species,ICZN,Flanders,BE,present,,established,,,,,>1980,,"Dekoninck W, Ignace D & Wegnez P, 2010. Records of a new pest ant species in Belgium, Technomyrmex vitiensis Mann, 1921. Bulletin S.R.B.E./K.B.V.E., 146: 83-90.",in serres,cosmopolitan,TRUE,FALSE,FALSE,,,,2018-04-17,Tim Adriaens,Wouter Dekoninck
"Tetramorium bicarinatum (Nylander, 1846)",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Tetramorium,species,ICZN,Wallonia,BE,present,,established,,,,,>1980,,"Dekoninck, W, Maelfait, J-P, Vankerkhoven, F, Baugnée, J-Y, and Grootaert, P, 2006. An update of the clecklist of the Belgian ant fauna with comments on new species for the country (Hymenoptera, Formicidae). Belgian Journal of Entomology 8, 27-41.","in huizen, serres",cosmopolitan,TRUE,FALSE,FALSE,,,,2018-04-17,Tim Adriaens,Wouter Dekoninck
"Tetraponera allaborans (Walker, 1859)",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Tetraponera,species,ICZN,Wallonia,BE,present,,casual,,,,,>1980,,"Dekoninck W, Hendrickx F, Dethier M, & Maelfait J-P, 2010. Spontaneous afforestation endangers the special ant fauna of abandoned quarries along the river Meuse (Wallonia, Belgium). Restoration Ecology, 18(5): 681-690.","mogelijks reeds verdwenen, was wel in de vrije natuur",Southeast Asia,TRUE,FALSE,FALSE,,,,2018-04-17,Tim Adriaens,Wouter Dekoninck
"Plagiolepis pygmaea (Latreille, 1798)",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Plagiolepis,species,ICZN,,BE,present,,casual,,,,,>1980,,,,Europe,TRUE,FALSE,FALSE,,,,2018-04-17,Tim Adriaens,Wouter Dekoninck
"Pheidole anastasii Emery, 1896",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,species,ICZN,,BE,present,,casual,,,,,,,,,,TRUE,FALSE,FALSE,,,,2018-04-17,Tim Adriaens,Wouter Dekoninck
"Paratrechina longicornis (Latreille, 1802)",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Paratrechina,species,ICZN,,BE,present,,casual,,,,,>1980,,"Dekoninck W. & Brouckaert D., 2011. Paratrechina longicornis an introduced ant in a subtropicaswimming pool infrastructure in Belgium. Bulletin S.R.B.E./K.B.V.E., 147: 99-101.","enkel binnen, tropische zwembaden en serres etc",cosmopolitan,TRUE,FALSE,FALSE,,,,2018-04-17,Tim Adriaens,Wouter Dekoninck
"Ischnura senegalensis Rambur, 1842",Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura,species,ICZN,Flanders,BE,present,,casual,contaminant_on_plants,contaminantOnPlants,,,2013,2013,"Adriaens, T., and G. De Knijf. 2015. A first report of introduced non-native damselfly species (Zygoptera, Coenagrionidae) for Belgium. Belg. J. Zool 145:76-80.",,Africa | Asia,FALSE,FALSE,TRUE,,,,2018-04-17,Tim Adriaens,
"Pseudagrion microcephalum Rambur, 1842",Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Pseudagrion,species,ICZN,Flanders,BE,present,,casual,contaminant_on_plants,contaminantOnPlants,,,2011,2012,"Adriaens, T., and G. De Knijf. 2015. A first report of introduced non-native damselfly species (Zygoptera, Coenagrionidae) for Belgium. Belg. J. Zool 145:76-80.",,Asia,FALSE,FALSE,TRUE,,,,2018-04-17,Tim Adriaens,
"Aedes koreicus (Edwards, 1917)",Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,species,ICZN,Flanders,BE,present,,established,stowaway_other,transportStowaway,,,2008,2018,"Versteirt et al. (2012) Bionomics of the Established Exotic Mosquito Species Aedes koreicus in Belgium, Europe. J. Med. Entomol. 49(6): 1226-1232. https://doi.org/10.1603/ME11170",,Asia,TRUE,FALSE,TRUE,,,,2018-04-17,Tim Adriaens,Isra Deblauwe
"Aedes japonicus (Theobald, 1901)",Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,species,ICZN,Wallonia,BE,present,,established,stowaway_other,transportStowaway,,,2002,2018,Versteirt et al. (2009) Introduction and Establishment of the Exotic Mosquito Species Aedes japonicus japonicus (Diptera: Culicidae) in Belgium. J. Med. Entomol. 46(6): 1464-1467 (2009),"under management, used tires, Natoye population",Asia,TRUE,FALSE,TRUE,,,,2018-04-17,Tim Adriaens,Isra Deblauwe
"Anopheles pharoensis Theobald, 1901",Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,species,ICZN,Wallonia,BE,present,,transported,stowaway_other,transportStowaway,,,2017,,,,East Africa,TRUE,FALSE,TRUE,,,,2018-04-17,Tim Adriaens,Isra Deblauwe
Aedes albopictus Skuse,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,species,ICZN,Flanders,BE,present,,reproducing,stowaway_other,transportStowaway,,,2000,2016,"Schaffner F, Van Bortel W, Coosemans M. First record of Aedes (Stegomyia) albopictusin Belgium. J Am Mosq Control Assoc. 2004 Jun;20(2):201-3","under management, used tires and lucky bamboo, does not survive winter I. Deblauwe)",Asia,TRUE,FALSE,TRUE,,,,2018-04-17,Tim Adriaens,Isra Deblauwe
"Cacyreus marshalli Butler, 1898",Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Cacyreus,species,ICZN,Brussels,BE,present,,casual,contaminant_on_plants,contaminantOnPlants,,,1991,2009,"paper Tim De Floris; Troukens W 1991. Cacyreus marshalli Butler, 1898 aangetroffen in België (Lepidoptera: Lycaenidae). — Phegea 19: 129–131.",,Southern Africa,TRUE,FALSE,FALSE,,,,2018-04-20,Tim Adriaens,
"Paysandisia archon (Burmeister, 1880)",Animalia,Arthropoda,Insecta,Lepidoptera,Castniidae,Paysandisia,species,ICZN,Flanders,BE,present,,transported,contaminant_on_plants,contaminantOnPlants,,,2011,2011,Troukens W 2012. Een tropische verstekeling uit Mallorca: de palmmot Paysandisia archon (Lepidoptera: Castniidae). — Phegea 40(3): 62. http://uahost.uantwerpen.be/vve/Phegea/2012/Phegea40-3_62.pdf,,Mallorca,TRUE,FALSE,FALSE,,,,2018-04-20,Tim Adriaens,
"Cacyreus marshalli Butler, 1898",Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Cacyreus,species,ICZN,Flanders,BE,present,,casual,contaminant_on_plants,contaminantOnPlants,,,,,paper Tim De Floris,,Southern Africa,TRUE,FALSE,FALSE,,,,2018-04-20,Tim Adriaens,
